pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
D-Arginine and D-ornithine metabolism - Homo sapiens (human),KEGG,5,C00077;C00792;C00515;C00062;C03943,10 (10),8.52e-07,0.000254
asparagine biosynthesis,HumanCyc,5,C00064;C00013;C00026;C00025;C00080,11 (11),1.54e-06,0.000254
serine biosynthesis (phosphorylated route),HumanCyc,5,C00026;C00065;C01005;C00025;C00080,11 (11),1.54e-06,0.000254
Ammonia Recycling,SMPDB,7,C00064;C00065;C00013;C00025;C00026;C16241;C00135,29 (29),1.54e-06,0.000254
&gamma;-glutamyl cycle,HumanCyc,7,C00064;C00065;C00062;C00025;C00080;C00047;C00135,29 (29),1.54e-06,0.000254
3-Phosphoglycerate dehydrogenase deficiency,SMPDB,9,C00065;C00013;C00062;C01005;C00025;C00026;C00740;C01026;C16241,55 (55),1.55e-06,0.000254
Non Ketotic Hyperglycinemia,SMPDB,9,C00065;C00013;C00062;C01005;C00025;C00026;C00740;C01026;C16241,55 (55),1.55e-06,0.000254
Glycine and Serine Metabolism,SMPDB,9,C00065;C00013;C00062;C01005;C00025;C00026;C00740;C01026;C16241,55 (55),1.55e-06,0.000254
Dimethylglycine Dehydrogenase Deficiency,SMPDB,9,C00065;C00013;C00062;C01005;C00025;C00026;C00740;C01026;C16241,55 (55),1.55e-06,0.000254
Hyperglycinemia_ non-ketotic,SMPDB,9,C00065;C00013;C00062;C01005;C00025;C00026;C00740;C01026;C16241,55 (55),1.55e-06,0.000254
Dimethylglycine Dehydrogenase Deficiency,SMPDB,9,C00065;C00013;C00062;C01005;C00025;C00026;C00740;C01026;C16241,55 (55),1.55e-06,0.000254
Sarcosinemia,SMPDB,9,C00065;C00013;C00062;C01005;C00025;C00026;C00740;C01026;C16241,55 (55),1.55e-06,0.000254
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMPDB,9,C00065;C00013;C00062;C01005;C00025;C00026;C00740;C01026;C16241,55 (55),1.55e-06,0.000254
D-Glutamine and D-glutamate metabolism - Homo sapiens (human),KEGG,5,C00064;C00819;C00217;C00025;C00026,12 (12),2.59e-06,0.000407
Amino acid synthesis and interconversion (transamination),Reactome,8,C00077;C00064;C00013;C01005;C00740;C00026;C00025;C00080,44 (46),2.67e-06,0.000407
Urea cycle and metabolism of arginine_ proline_ glutamate_ aspartate and asparagine,EHMN,12,C00077;C00065;C00013;C00062;C00025;C00026;C00064;C05938;C00080;C00334;C02356;C00047,125 (125),9.04e-06,0.001
Arginine Proline metabolism,INOH,9,C00077;C00064;C00013;C02305;C00062;C00025;C00026;C05938;C00334,68 (68),9.59e-06,0.001
Prolinemia Type II,SMPDB,8,C00077;C00013;C02305;C00062;C00025;C00026;C05938;C00080,52 (52),9.87e-06,0.001
Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),SMPDB,8,C00077;C00013;C02305;C00062;C00025;C00026;C05938;C00080,52 (52),9.87e-06,0.001
Hyperornithinemia with gyrate atrophy (HOGA),SMPDB,8,C00077;C00013;C02305;C00062;C00025;C00026;C05938;C00080,52 (52),9.87e-06,0.001
Creatine deficiency_ guanidinoacetate methyltransferase deficiency,SMPDB,8,C00077;C00013;C02305;C00062;C00025;C00026;C05938;C00080,52 (52),9.87e-06,0.001
L-arginine:glycine amidinotransferase deficiency,SMPDB,8,C00077;C00013;C02305;C00062;C00025;C00026;C05938;C00080,52 (52),9.87e-06,0.001
Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome],SMPDB,8,C00077;C00013;C02305;C00062;C00025;C00026;C05938;C00080,52 (52),9.87e-06,0.001
Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMPDB,8,C00077;C00013;C02305;C00062;C00025;C00026;C05938;C00080,52 (52),9.87e-06,0.001
Prolidase Deficiency (PD),SMPDB,8,C00077;C00013;C02305;C00062;C00025;C00026;C05938;C00080,52 (52),9.87e-06,0.001
Arginine and Proline Metabolism,SMPDB,8,C00077;C00013;C02305;C00062;C00025;C00026;C05938;C00080,52 (52),9.87e-06,0.001
Hyperprolinemia Type I,SMPDB,8,C00077;C00013;C02305;C00062;C00025;C00026;C05938;C00080,52 (52),9.87e-06,0.001
Hyperprolinemia Type II,SMPDB,8,C00077;C00013;C02305;C00062;C00025;C00026;C05938;C00080,52 (52),9.87e-06,0.001
Ornithine Aminotransferase Deficiency (OAT Deficiency),SMPDB,8,C00077;C00013;C02305;C00062;C00025;C00026;C05938;C00080,52 (52),9.87e-06,0.001
Histidine Metabolism,SMPDB,7,C00013;C05130;C00386;C00025;C01152;C00080;C00135,39 (40),1.28e-05,0.00116
Histidinemia,SMPDB,7,C00013;C05130;C00386;C00025;C01152;C00080;C00135,39 (40),1.28e-05,0.00116
The oncogenic action of 2-hydroxyglutarate,SMPDB,7,C00158;C00064;C00417;C00025;C00026;C00311;C00080,39 (40),1.28e-05,0.00116
Serine biosynthesis,Reactome,5,C01005;C00026;C00025;C00080;C00740,16 (17),1.34e-05,0.00116
lysine degradation I (saccharopine pathway),HumanCyc,5,C00025;C00026;C00322;C00080;C00047,16 (16),1.34e-05,0.00116
Biochemical Pathways Part I,Wikipathways,24,C00077;C00158;C00074;C02305;C00818;C00979;C00334;C00499;C00047;C01205;C00064;C00065;C00062;C00417;C00025;C00026;C05938;C00475;C01005;C03284;C01026;C04575;C00322;C00135,456 (467),1.38e-05,0.00116
Argininemia,SMPDB,6,C00064;C00077;C00013;C00062;C00025;C00026,27 (27),1.52e-05,0.00116
Citrullinemia Type I,SMPDB,6,C00064;C00077;C00013;C00062;C00025;C00026,27 (27),1.52e-05,0.00116
Carbamoyl Phosphate Synthetase Deficiency,SMPDB,6,C00064;C00077;C00013;C00062;C00025;C00026,27 (27),1.52e-05,0.00116
Argininosuccinic Aciduria,SMPDB,6,C00064;C00077;C00013;C00062;C00025;C00026,27 (27),1.52e-05,0.00116
Urea Cycle,SMPDB,6,C00064;C00077;C00013;C00062;C00025;C00026,27 (27),1.52e-05,0.00116
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMPDB,6,C00064;C00077;C00013;C00062;C00025;C00026,27 (27),1.52e-05,0.00116
The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria,SMPDB,7,C00158;C00064;C00417;C00025;C00026;C00311;C00080,40 (41),1.52e-05,0.00116
The oncogenic action of D-2-hydroxyglutarate in  Hydroxygluaricaciduria ,SMPDB,7,C00158;C00064;C00417;C00025;C00026;C00311;C00080,40 (41),1.52e-05,0.00116
Proximal tubule bicarbonate reclamation - Homo sapiens (human),KEGG,5,C00064;C00080;C00074;C00025;C00026,17 (17),1.86e-05,0.0014
4-aminobutyrate degradation,HumanCyc,4,C00334;C00026;C00025;C00080,9 (9),2.12e-05,0.00149
L-glutamine tRNA biosynthesis,HumanCyc,4,C00064;C00013;C00025;C00080,9 (9),2.12e-05,0.00149
GABAergic synapse - Homo sapiens (human),KEGG,4,C00064;C00334;C00025;C00026,9 (9),2.12e-05,0.00149
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II,HumanCyc,4,C00064;C00013;C00025;C00080,9 (11),2.12e-05,0.00149
leukotriene biosynthesis,HumanCyc,6,C00064;C00065;C00062;C00025;C00047;C00135,29 (30),2.35e-05,0.00162
Glutaminolysis and Cancer,SMPDB,7,C00158;C00064;C00417;C00025;C00026;C00311;C00080,43 (44),2.5e-05,0.0017
Histidine metabolism,EHMN,7,C00013;C05130;C00386;C00025;C00026;C00080;C00135,45 (45),3.41e-05,0.00227
glutamate dependent acid resistance,HumanCyc,3,C00334;C00025;C00080,4 (4),3.54e-05,0.00232
Amine compound SLC transporters,Reactome,6,C00064;C00062;C00080;C00334;C00047;C00135,32 (35),4.26e-05,0.00276
Citrate cycle (TCA cycle) - Homo sapiens (human),KEGG,5,C00158;C00417;C00074;C00311;C00026,20 (20),4.44e-05,0.00282
Histidine metabolism - Homo sapiens (human),KEGG,7,C16673;C00386;C01152;C00026;C00025;C00135;C05130,47 (47),4.56e-05,0.00282
Protein digestion and absorption - Homo sapiens (human),KEGG,7,C00064;C00065;C00062;C00025;C00080;C00047;C00135,47 (47),4.56e-05,0.00282
Carnosinuria_ carnosinemia,SMPDB,6,C00386;C00025;C00026;C01152;C00080;C00135,33 (34),5.12e-05,0.003
Ureidopropionase deficiency,SMPDB,6,C00386;C00025;C00026;C01152;C00080;C00135,33 (34),5.12e-05,0.003
GABA-Transaminase Deficiency,SMPDB,6,C00386;C00025;C00026;C01152;C00080;C00135,33 (34),5.12e-05,0.003
Beta-Alanine Metabolism,SMPDB,6,C00386;C00025;C00026;C01152;C00080;C00135,33 (34),5.12e-05,0.003
lysine degradation II (pipecolate pathway),HumanCyc,5,C00025;C00026;C00322;C00080;C00047,21 (21),5.73e-05,0.00331
Transport of small molecules,Reactome,14,C00077;C00158;C00013;C00062;C00740;C00026;C00025;C00064;C00311;C00080;C00334;C00047;C00475;C00135,203 (226),6.93e-05,0.00395
Citrate cycle,INOH,6,C00158;C00074;C00062;C00417;C00026;C00311,35 (35),7.26e-05,0.00408
Glycine Serine metabolism,INOH,8,C00077;C00065;C00013;C00062;C01005;C00025;C00026;C01026,68 (68),7.36e-05,0.00408
SLC-mediated transmembrane transport,Reactome,12,C00077;C00158;C00062;C00740;C00026;C00025;C00064;C00080;C00334;C00047;C00475;C00135,155 (166),7.93e-05,0.00434
superpathway of methionine degradation,HumanCyc,6,C00065;C00013;C00025;C00026;C01026;C00080,36 (36),8.56e-05,0.00452
TCA cycle,EHMN,6,C00158;C00074;C00417;C00026;C00311;C00080,36 (36),8.56e-05,0.00452
Vitamin B3 (nicotinate and nicotinamide) metabolism,EHMN,6,C00064;C00013;C00062;C00153;C00025;C00080,36 (36),8.56e-05,0.00452
GABA synthesis,Reactome,3,C00334;C00025;C00080,5 (5),8.71e-05,0.00454
Aminoacyl-tRNA biosynthesis - Homo sapiens (human),KEGG,7,C00064;C00065;C00062;C01005;C00025;C00047;C00135,52 (52),8.91e-05,0.00458
Transport of bile salts and organic acids_ metal ions and amine compounds,Reactome,8,C00064;C00158;C00062;C00026;C00080;C00334;C00047;C00135,70 (78),9.09e-05,0.0046
Arginine biosynthesis - Homo sapiens (human),KEGG,5,C00064;C00077;C00026;C00025;C00062,23 (23),9.16e-05,0.0046
GABA shunt,HumanCyc,4,C00334;C00026;C00025;C00080,13 (13),0.000113,0.00561
Lysine degradation - Homo sapiens (human),KEGG,7,C01186;C01142;C00322;C00739;C00026;C05161;C00047,55 (55),0.000128,0.0063
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde,HumanCyc,4,C00064;C00013;C00025;C00080,14 (14),0.000156,0.00755
Warburg Effect,SMPDB,7,C00158;C00064;C00074;C00025;C00026;C00311;C00080,57 (58),0.000162,0.00776
lipoate salvage,HumanCyc,3,C00013;C16241;C00080,6 (6),0.000172,0.00805
homocarnosine biosynthesis,HumanCyc,3,C00334;C00080;C00135,6 (7),0.000172,0.00805
Serine biosynthesis,Wikipathways,4,C00080;C01005;C00740;C00026,15 (17),0.000209,0.00919
ornithine <i>de novo </i> biosynthesis,HumanCyc,4,C00077;C00026;C00025;C00080,15 (15),0.000209,0.00919
guanosine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,4,C00064;C00013;C00025;C00080,15 (15),0.000209,0.00919
4-hydroxyproline degradation,HumanCyc,4,C00026;C00025;C00080;C05938,15 (17),0.000209,0.00919
UTP and CTP dephosphorylation I,HumanCyc,4,C00064;C00475;C00025;C00080,15 (15),0.000209,0.00919
Creatine metabolism,Reactome,4,C00077;C02305;C00062;C00080,15 (15),0.000209,0.00919
Methionine and cysteine metabolism,EHMN,8,C00064;C00065;C00013;C05844;C05528;C00025;C00026;C00080,80 (80),0.000235,0.0102
Aminosugars metabolism,EHMN,6,C00064;C00013;C00074;C00740;C00025;C00080,43 (43),0.000238,0.0103
Alanine_ aspartate and glutamate metabolism - Homo sapiens (human),KEGG,5,C00158;C00334;C00064;C00025;C00026,28 (28),0.000246,0.0103
Na+/Cl- dependent neurotransmitter transporters,Reactome,5,C00334;C00064;C00047;C00062;C00135,28 (31),0.000246,0.0103
Histidine degradation,INOH,5,C05130;C00386;C00013;C00025;C00135,28 (28),0.000246,0.0103
GABA synthesis_ release_ reuptake and degradation,Reactome,4,C00334;C00026;C00025;C00080,16 (16),0.000274,0.0114
NAD salvage,HumanCyc,3,C00013;C00153;C00080,7 (7),0.000296,0.0118
NADPH regeneration,Reactome,3,C00311;C00026;C00080,7 (7),0.000296,0.0118
glutamine biosynthesis,HumanCyc,3,C00064;C00025;C00080,7 (7),0.000296,0.0118
carnosine biosynthesis,HumanCyc,3,C00386;C00080;C00135,7 (7),0.000296,0.0118
Alanine Aspartate Asparagine metabolism,INOH,6,C00064;C00013;C00074;C00062;C00025;C00026,45 (45),0.000308,0.0121
Methionine Cysteine metabolism,INOH,6,C00065;C00013;C05528;C00025;C00026;C01026,45 (45),0.000308,0.0121
Lysine catabolism,Reactome,5,C00322;C00080;C00047;C00026;C00025,30 (32),0.000345,0.0132
guanosine nucleotides <i>de novo</i> biosynthesis,HumanCyc,4,C00064;C00013;C00025;C00080,17 (17),0.000352,0.0132
5-aminoimidazole ribonucleotide biosynthesis,HumanCyc,4,C00064;C00013;C00025;C00080,17 (17),0.000352,0.0132
4-hydroxybenzoate biosynthesis,HumanCyc,4,C00013;C00026;C00025;C00080,17 (17),0.000352,0.0132
urea cycle,HumanCyc,4,C00077;C00013;C00062;C00080,17 (17),0.000352,0.0132
2-Hydroxyglutric Aciduria (D And L Form),SMPDB,6,C00064;C00013;C00025;C00026;C00080;C00334,48 (49),0.000441,0.0154
Homocarnosinosis,SMPDB,6,C00064;C00013;C00025;C00026;C00080;C00334,48 (49),0.000441,0.0154
Hyperinsulinism-Hyperammonemia Syndrome,SMPDB,6,C00064;C00013;C00025;C00026;C00080;C00334,48 (49),0.000441,0.0154
Succinic semialdehyde dehydrogenase deficiency,SMPDB,6,C00064;C00013;C00025;C00026;C00080;C00334,48 (49),0.000441,0.0154
4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,SMPDB,6,C00064;C00013;C00025;C00026;C00080;C00334,48 (49),0.000441,0.0154
Glutamate Metabolism,SMPDB,6,C00064;C00013;C00025;C00026;C00080;C00334,48 (49),0.000441,0.0154
creatine biosynthesis,HumanCyc,3,C00077;C00062;C00080,8 (8),0.000466,0.0154
malate-aspartate shuttle,HumanCyc,3,C00026;C00025;C00080,8 (8),0.000466,0.0154
Glutamate Neurotransmitter Release Cycle,Reactome,3,C00064;C00025;C00080,8 (8),0.000466,0.0154
L-cysteine degradation II,HumanCyc,3,C00026;C00025;C00080,8 (8),0.000466,0.0154
Pyruvate dehydrogenase deficiency (E3),SMPDB,5,C00158;C00417;C00311;C00080;C00026,32 (33),0.000472,0.0154
Pyruvate dehydrogenase deficiency (E2),SMPDB,5,C00158;C00417;C00311;C00080;C00026,32 (33),0.000472,0.0154
2-ketoglutarate dehydrogenase complex deficiency,SMPDB,5,C00158;C00417;C00311;C00080;C00026,32 (33),0.000472,0.0154
Mitochondrial complex II deficiency,SMPDB,5,C00158;C00417;C00311;C00080;C00026,32 (33),0.000472,0.0154
Fumarase deficiency,SMPDB,5,C00158;C00417;C00311;C00080;C00026,32 (33),0.000472,0.0154
Congenital lactic acidosis,SMPDB,5,C00158;C00417;C00311;C00080;C00026,32 (33),0.000472,0.0154
Citric Acid Cycle,SMPDB,5,C00158;C00417;C00311;C00080;C00026,32 (33),0.000472,0.0154
Taste transduction - Homo sapiens (human),KEGG,5,C00158;C00334;C00740;C00080;C00025,33 (33),0.000547,0.0177
UMP biosynthesis,HumanCyc,4,C00064;C00013;C00025;C00080,19 (20),0.000556,0.0177
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc),Wikipathways,4,C00158;C00074;C00311;C00026,19 (19),0.000556,0.0177
superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle,HumanCyc,5,C00158;C00417;C00074;C00080;C00026,34 (36),0.000631,0.0193
Glutamate Glutamine metabolism,INOH,5,C00064;C00334;C00013;C00025;C00026,34 (34),0.000631,0.0193
Gluconeogenesis,Reactome,5,C00158;C00074;C00026;C00025;C00080,34 (34),0.000631,0.0193
Hypoacetylaspartia,SMPDB,5,C00064;C00013;C00062;C00025;C00026,34 (34),0.000631,0.0193
Aspartate Metabolism,SMPDB,5,C00064;C00013;C00062;C00025;C00026,34 (34),0.000631,0.0193
Canavan Disease,SMPDB,5,C00064;C00013;C00062;C00025;C00026,34 (34),0.000631,0.0193
Synthesis of UDP-N-acetyl-glucosamine,Reactome,4,C00064;C00013;C00025;C00080,20 (21),0.000683,0.02
valine degradation,HumanCyc,4,C00026;C03284;C00080;C00025,20 (20),0.000683,0.02
glutamate biosynthesis/degradation,HumanCyc,3,C00026;C00025;C00080,9 (9),0.000688,0.02
selenocysteine biosynthesis,HumanCyc,3,C00065;C00013;C00080,9 (10),0.000688,0.02
Degradation of GABA,Reactome,3,C00334;C00025;C00026,9 (9),0.000688,0.02
L-dopa degradation,HumanCyc,3,C00026;C00025;C00080,9 (12),0.000688,0.02
tRNA splicing,HumanCyc,3,C00013;C00153;C00080,9 (11),0.000688,0.02
Nicotinate and Nicotinamide Metabolism,SMPDB,5,C00064;C00013;C00153;C00025;C00080,35 (35),0.000724,0.0209
Metabolism of polyamines,Reactome,6,C00077;C00013;C00062;C02305;C00025;C00080,53 (60),0.000758,0.0216
Lysine metabolism,EHMN,6,C00013;C00025;C00026;C00047;C00080;C00322,53 (53),0.000758,0.0216
Lysine degradation,INOH,5,C00158;C00322;C00047;C00026;C00025,36 (36),0.000827,0.0233
Glucose Homeostasis,Wikipathways,4,C00077;C00047;C00062;C00135,21 (21),0.000831,0.0233
Purine ribonucleoside monophosphate biosynthesis,Reactome,5,C00064;C00087;C00013;C00025;C00080,37 (37),0.000941,0.0263
asparagine degradation,HumanCyc,3,C00026;C00025;C00080,10 (10),0.000968,0.0265
L-cysteine degradation I,HumanCyc,3,C00026;C00025;C00080,10 (10),0.000968,0.0265
Malate-Aspartate Shuttle,SMPDB,3,C00080;C00025;C00026,10 (10),0.000968,0.0265
TCA cycle,HumanCyc,4,C00158;C00417;C00026;C00080,22 (23),0.000999,0.0267
Pyrimidine biosynthesis,Reactome,4,C00064;C00013;C00025;C00080,22 (22),0.000999,0.0267
Taurine and hypotaurine metabolism - Homo sapiens (human),KEGG,4,C06735;C05844;C00026;C00025,22 (22),0.000999,0.0267
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,4,C00064;C00013;C00025;C00080,22 (23),0.000999,0.0267
Selenoamino acid metabolism,EHMN,5,C05698;C00065;C05689;C00013;C00080,38 (38),0.00107,0.0283
Gene expression (Transcription),Reactome,6,C00064;C00013;C00153;C00025;C00026;C00080,57 (66),0.00112,0.0295
Arginine and proline metabolism - Homo sapiens (human),KEGG,7,C00077;C02305;C00062;C05941;C00025;C05938;C00334,78 (78),0.00113,0.0296
TCA Cycle (aka Krebs or citric acid cycle),Wikipathways,4,C00158;C00417;C00311;C00026,23 (24),0.00119,0.0306
Histidine catabolism,Reactome,4,C00386;C00025;C00080;C00135,23 (23),0.00119,0.0306
Urea cycle,Reactome,4,C00077;C00013;C00025;C00062,23 (23),0.00119,0.0306
Proton/oligopeptide cotransporters,Reactome,2,C00080;C00135,3 (5),0.00129,0.0325
Uptake and function of diphtheria toxin,Wikipathways,2,C00153;C00080,3 (3),0.00129,0.0325
UTP and CTP dephosphorylation II,HumanCyc,3,C00064;C00025;C00080,11 (11),0.00131,0.0325
Glucose-Alanine Cycle,SMPDB,3,C00080;C00025;C00026,11 (11),0.00131,0.0325
Vitamin H (biotin) metabolism,EHMN,3,C00013;C00047;C00080,11 (11),0.00131,0.0325
UTP and CTP <i>de novo</i> biosynthesis,HumanCyc,3,C00064;C00025;C00080,11 (11),0.00131,0.0325
The oncogenic action of Succinate,SMPDB,5,C00158;C00417;C00311;C00080;C00026,40 (41),0.00135,0.0334
NAD <i>de novo</i> biosynthesis,HumanCyc,4,C00064;C00013;C00025;C00080,24 (24),0.00141,0.0345
Neurotransmitter release cycle,Reactome,5,C00334;C00064;C00080;C00025;C00026,41 (45),0.00151,0.0367
The oncogenic action of Fumarate,SMPDB,5,C00158;C00417;C00311;C00080;C00026,41 (42),0.00151,0.0367
Cysteine and methionine metabolism - Homo sapiens (human),KEGG,6,C00065;C05528;C01005;C00979;C02356;C01234,61 (61),0.0016,0.0378
Transmission across Chemical Synapses,Reactome,6,C00064;C00013;C00025;C00026;C00080;C00334,61 (65),0.0016,0.0378
Neuronal System,Reactome,6,C00064;C00013;C00025;C00026;C00080;C00334,61 (65),0.0016,0.0378
Glutaric Aciduria Type I,SMPDB,4,C00322;C00047;C00026;C00025,25 (27),0.00165,0.0378
Lysine Degradation,SMPDB,4,C00322;C00047;C00026;C00025,25 (27),0.00165,0.0378
Hyperlysinemia I_ Familial,SMPDB,4,C00322;C00047;C00026;C00025,25 (27),0.00165,0.0378
2-aminoadipic 2-oxoadipic aciduria,SMPDB,4,C00322;C00047;C00026;C00025,25 (27),0.00165,0.0378
Pyridoxine dependency with seizures,SMPDB,4,C00322;C00047;C00026;C00025,25 (27),0.00165,0.0378
Saccharopinuria/Hyperlysinemia II,SMPDB,4,C00322;C00047;C00026;C00025,25 (27),0.00165,0.0378
Hyperlysinemia II or Saccharopinuria,SMPDB,4,C00322;C00047;C00026;C00025,25 (27),0.00165,0.0378
Class C/3 (Metabotropic glutamate/pheromone receptors),Reactome,5,C00334;C00077;C00047;C00062;C00025,42 (54),0.00169,0.0383
Nicotinate metabolism,Reactome,5,C00064;C00013;C00153;C00025;C00080,42 (52),0.00169,0.0383
histidine degradation,HumanCyc,3,C00025;C00080;C00135,12 (12),0.00172,0.0383
Synaptic vesicle cycle - Homo sapiens (human),KEGG,3,C00334;C00025;C00080,12 (12),0.00172,0.0383
Lipoate metabolism,EHMN,3,C00013;C00047;C00080,12 (12),0.00172,0.0383
fig-met-1-last-solution,Wikipathways,3,C00158;C00311;C00026,12 (14),0.00172,0.0383
Histidine_ lysine_ phenylalanine_ tyrosine_ proline and tryptophan catabolism,Reactome,7,C00386;C00025;C00026;C00047;C00080;C00322;C00135,85 (91),0.00187,0.0411
Glucose metabolism,Reactome,5,C00158;C00074;C00026;C00025;C00080,43 (44),0.00188,0.0411
Mitochondrial tRNA aminoacylation,Reactome,6,C00064;C00013;C00062;C00025;C00047;C00135,63 (66),0.00189,0.0411
Cytosolic tRNA aminoacylation,Reactome,6,C00064;C00013;C00062;C00025;C00047;C00135,63 (66),0.00189,0.0411
tRNA Aminoacylation,Reactome,6,C00064;C00013;C00062;C00025;C00047;C00135,63 (66),0.00189,0.0411
Glucagon signaling pathway - Homo sapiens (human),KEGG,4,C00158;C00074;C00311;C00026,26 (26),0.00191,0.0411
Nicotinate Nicotinamide metabolism,INOH,4,C00064;C00013;C00153;C00025,26 (26),0.00191,0.0411
CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes),HumanCyc,3,C00013;C00074;C00080,13 (15),0.0022,0.0468
tyrosine degradation,HumanCyc,3,C00026;C00025;C00080,13 (13),0.0022,0.0468
Generic Transcription Pathway,Reactome,5,C00064;C00013;C00153;C00025;C00080,45 (49),0.00231,0.0488
Human metabolism overview,Wikipathways,8,C00158;C00064;C00074;C00062;C00077;C00025;C00026;C00311,113 (113),0.00235,0.0495
Selenoamino Acid Metabolism,SMPDB,4,C05698;C00065;C00013;C05689,28 (28),0.00254,0.0514
aspartate biosynthesis,HumanCyc,2,C00025;C00026,4 (4),0.00255,0.0514
histamine biosynthesis,HumanCyc,2,C00080;C00135,4 (4),0.00255,0.0514
alanine biosynthesis/degradation,HumanCyc,2,C00025;C00026,4 (4),0.00255,0.0514
putrescine biosynthesis I,HumanCyc,2,C00077;C00080,4 (4),0.00255,0.0514
Metabolism of vitamin K,Reactome,2,C00013;C00080,4 (6),0.00255,0.0514
glutamine degradation/glutamate biosynthesis,HumanCyc,2,C00064;C00025,4 (4),0.00255,0.0514
Methylhistidine Metabolism,SMPDB,2,C01152;C00135,4 (4),0.00255,0.0514
Methionine De Novo and Salvage Pathway,Wikipathways,5,C00077;C00013;C01026;C00026;C00025,46 (47),0.00255,0.0514
citrulline-nitric oxide cycle,HumanCyc,3,C00013;C00062;C00080,14 (14),0.00276,0.0554
Metabolic reprogramming in colon cancer,Wikipathways,4,C00158;C00074;C00311;C00026,29 (35),0.0029,0.0579
RNA Polymerase II Transcription,Reactome,5,C00064;C00013;C00153;C00025;C00080,48 (52),0.00308,0.0609
Nucleobase biosynthesis,Reactome,5,C00064;C00087;C00013;C00025;C00080,48 (48),0.00308,0.0609
Xenobiotics metabolism,EHMN,7,C00829;C14797;C14796;C14845;C14843;C00080;C14798,93 (93),0.00314,0.0617
superpathway of purine nucleotide salvage,HumanCyc,4,C00064;C00013;C00025;C00080,30 (30),0.00329,0.0636
Tryptophan catabolism,Reactome,4,C00026;C00025;C00080;C00135,30 (34),0.00329,0.0636
Citric acid cycle (TCA cycle),Reactome,4,C00158;C00311;C00026;C00080,30 (30),0.00329,0.0636
L-kynurenine degradation,HumanCyc,4,C00080;C00322;C00026;C00025,30 (30),0.00329,0.0636
