pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
Glutathione Synthetase Deficiency,SMPDB,1,C00669,22 (22),0.095,1
5-Oxoprolinuria,SMPDB,1,C00669,22 (22),0.095,1
Biological oxidations,Reactome,3,C03150;C00669;C00059,249 (321),0.0989,1
Arginine biosynthesis - Homo sapiens (human),KEGG,1,C04133,23 (23),0.0991,1
Phase II - Conjugation of compounds,Wikipathways,2,C00669;C00059,119 (151),0.0994,1
Phase II - Conjugation of compounds,Reactome,2,C00669;C00059,120 (148),0.101,1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),KEGG,2,C19488;C07535,121 (121),0.102,1
Ferroptosis,Wikipathways,1,C00669,24 (29),0.103,1
Heparan sulfate/heparin (HS-GAG) metabolism,Reactome,1,C00059,24 (35),0.103,1
Biopterin metabolism,EHMN,1,C04874,24 (24),0.103,1
PI Metabolism,Wikipathways,1,C00670,24 (29),0.103,1
Ether lipid metabolism - Homo sapiens (human),KEGG,1,C00670,25 (25),0.107,1
PI Metabolism,Reactome,1,C00670,25 (29),0.107,1
Urea cycle and metabolism of arginine_ proline_ glutamate_ aspartate and asparagine,EHMN,2,C00669;C05932,125 (125),0.108,1
Organic cation transport,Reactome,1,C05570,26 (29),0.111,1
Nicotinate Nicotinamide metabolism,INOH,1,C03150,26 (26),0.111,1
Beta-mercaptolactate-cysteine disulfiduria,SMPDB,1,C00669,26 (26),0.111,1
Cysteine Metabolism,SMPDB,1,C00669,26 (26),0.111,1
Cystinosis_ ocular nonnephropathic,SMPDB,1,C00669,26 (26),0.111,1
ABC transporters - Homo sapiens (human),KEGG,2,C00378;C00059,129 (129),0.114,1
Metabolism,Reactome,7,C00669;C00378;C01134;C00670;C03150;C00059;C17935,951 (1384),0.117,1
Pantothenate and CoA biosynthesis - Homo sapiens (human),KEGG,1,C01134,28 (28),0.119,1
Glutathione conjugation,Reactome,1,C00669,28 (31),0.119,1
&gamma;-glutamyl cycle,HumanCyc,1,C00669,29 (29),0.123,1
Thiamine metabolism - Homo sapiens (human),KEGG,1,C00378,31 (31),0.131,1
Ferroptosis - Homo sapiens (human),KEGG,1,C00669,31 (31),0.131,1
Vitamin A Deficiency,SMPDB,1,C00670,31 (31),0.131,1
Retinol Metabolism,SMPDB,1,C00670,31 (31),0.131,1
17-Beta Hydroxysteroid Dehydrogenase III Deficiency,SMPDB,1,C00059,32 (32),0.135,1
Androgen and Estrogen Metabolism,SMPDB,1,C00059,32 (32),0.135,1
Aromatase deficiency,SMPDB,1,C00059,32 (32),0.135,1
Sulfur metabolism - Homo sapiens (human),KEGG,1,C00059,33 (33),0.139,1
Organic cation/anion/zwitterion transport,Reactome,1,C05570,33 (36),0.139,1
Degradation of cysteine and homocysteine,Reactome,1,C00059,34 (39),0.143,1
Glutamate Glutamine metabolism,INOH,1,C00669,34 (34),0.143,1
Transport of inorganic cations-anions and amino acids-oligopeptides,Wikipathways,1,C00059,34 (58),0.143,1
Biochemical Pathways Part I,Wikipathways,4,C05385;C00059;C01134;C00669,456 (467),0.143,1
Pentose phosphate pathway - Homo sapiens (human),KEGG,1,C01218,35 (35),0.147,1
Nicotinate and Nicotinamide Metabolism,SMPDB,1,C03150,35 (35),0.147,1
superpathway of methionine degradation,HumanCyc,1,C00059,36 (36),0.151,1
Vitamin B3 (nicotinate and nicotinamide) metabolism,EHMN,1,C03150,36 (36),0.151,1
Glycosaminoglycan metabolism,Wikipathways,1,C00059,36 (58),0.151,1
SLC-mediated transmembrane transport,Reactome,2,C00059;C05570,155 (166),0.154,1
Cytosolic sulfonation of small molecules,Reactome,1,C00059,37 (47),0.155,1
Pentose phosphate pathway,EHMN,1,C01218,37 (37),0.155,1
Glycosphingolipid metabolism,Reactome,1,C00059,38 (41),0.159,1
Glutathione metabolism - Homo sapiens (human),KEGG,1,C00669,38 (38),0.159,1
Nicotinate metabolism,Wikipathways,1,C03150,38 (55),0.159,1
Peroxisomal lipid metabolism,Reactome,1,C01134,39 (60),0.163,1
Vitamin digestion and absorption - Homo sapiens (human),KEGG,1,C00378,39 (39),0.163,1
Sphingolipid Metabolism,SMPDB,1,C00059,39 (40),0.163,1
Gaucher Disease,SMPDB,1,C00059,39 (40),0.163,1
Globoid Cell Leukodystrophy,SMPDB,1,C00059,39 (40),0.163,1
Metachromatic Leukodystrophy (MLD),SMPDB,1,C00059,39 (40),0.163,1
Fabry disease,SMPDB,1,C00059,39 (40),0.163,1
Krabbe disease,SMPDB,1,C00059,39 (40),0.163,1
Glycosaminoglycan metabolism,Reactome,1,C00059,40 (60),0.166,1
Peroxisomal lipid metabolism,Wikipathways,1,C01134,40 (61),0.166,1
Nicotinate metabolism,Reactome,1,C03150,42 (52),0.174,1
One carbon metabolism and related pathways,Wikipathways,1,C00669,42 (42),0.174,1
Amino acid and oligopeptide SLC transporters,Reactome,1,C00059,44 (50),0.181,1
Histidine metabolism - Homo sapiens (human),KEGG,1,C05570,47 (47),0.193,1
Hyperinsulinism-Hyperammonemia Syndrome,SMPDB,1,C00669,48 (49),0.196,1
2-Hydroxyglutric Aciduria (D And L Form),SMPDB,1,C00669,48 (49),0.196,1
Homocarnosinosis,SMPDB,1,C00669,48 (49),0.196,1
Succinic semialdehyde dehydrogenase deficiency,SMPDB,1,C00669,48 (49),0.196,1
4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,SMPDB,1,C00669,48 (49),0.196,1
Glutamate Metabolism,SMPDB,1,C00669,48 (49),0.196,1
Transport of inorganic cations/anions and amino acids/oligopeptides,Reactome,1,C00059,50 (56),0.204,1
Glycerophospholipid metabolism - Homo sapiens (human),KEGG,1,C00670,52 (52),0.211,1
Sulfur amino acid metabolism,Wikipathways,1,C00059,53 (67),0.214,1
Sulfur amino acid metabolism,Reactome,1,C00059,54 (66),0.218,1
Nicotinate and nicotinamide metabolism - Homo sapiens (human),KEGG,1,C03150,55 (55),0.222,1
Transport of small molecules,Reactome,2,C00059;C05570,203 (226),0.233,1
Sphingolipid metabolism,Wikipathways,1,C00059,59 (67),0.236,1
Cysteine and methionine metabolism - Homo sapiens (human),KEGG,1,C00059,61 (61),0.243,1
C21-steroid hormone biosynthesis and metabolism,EHMN,1,C00059,61 (61),0.243,1
Sphingolipid metabolism,Reactome,1,C00059,62 (68),0.246,1
Androgen and estrogen biosynthesis and metabolism,EHMN,1,C00059,62 (62),0.246,1
Metabolism of lipids,Reactome,3,C00059;C00670;C01134,398 (620),0.266,1
Glycerophospholipid biosynthesis,Wikipathways,1,C00670,70 (94),0.273,1
Glycerophospholipid biosynthesis,Reactome,1,C00670,72 (93),0.28,1
Tyrosine metabolism - Homo sapiens (human),KEGG,1,C17935,78 (78),0.3,1
Arginine and proline metabolism - Homo sapiens (human),KEGG,1,C05932,78 (78),0.3,1
Phospholipid metabolism,Reactome,1,C00670,80 (103),0.306,1
Methionine and cysteine metabolism,EHMN,1,C00059,80 (80),0.306,1
Purine nucleotides nucleosides metabolism,INOH,1,C00059,80 (80),0.306,1
Metabolism of amino acids and derivatives,Reactome,2,C00059;C17935,246 (285),0.306,1
Tryptophan metabolism - Homo sapiens (human),KEGG,1,C05641,81 (81),0.309,1
Xenobiotics metabolism,EHMN,1,C07535,93 (93),0.347,1
Purine metabolism,EHMN,1,C00059,94 (94),0.35,1
Purine metabolism - Homo sapiens (human),KEGG,1,C00059,95 (95),0.353,1
chondroitin sulfate degradation (metazoa),HumanCyc,1,C00059,100 (134),0.367,1
dermatan sulfate degradation (metazoa),HumanCyc,1,C00059,101 (135),0.37,1
Tyrosine metabolism,EHMN,1,C00059,105 (105),0.382,1
Amino Acid metabolism,Wikipathways,1,C00669,105 (108),0.382,1
Metabolism of carbohydrates,Reactome,1,C00059,111 (137),0.399,1
Phase I - Functionalization of compounds,Wikipathways,1,C03150,157 (195),0.515,1
Phase I - Functionalization of compounds,Reactome,1,C03150,159 (193),0.52,1
Fatty acid metabolism,Reactome,1,C01134,199 (367),0.602,1
