name,mz,rt,intensity,group_id,degree_cor,sub_group_id,degree,n_nodes,n_edges,label_charge_oligomer,isotope_labels_a,isotope_ids,isotope_labels_b,atoms,molecular_formula,adduct,compound_name,compound_id,exact_mass,ppm_error
12,102.0549167,61.806666,7617179.3,5,180,5,6,315,577,[M+H-H2O]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+MeOH+H]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,,,,,C2H4O2||C2H4O2||C4H10N2O2||C2H4O2||C2H4O2||C4H10N2O2||C2H4O2||C2H4O2||C4H10N2O2||C2H4O2||C2H4O2||C4H10N2O2||C2H4O2||C2H4O2||C4H10N2O2||C2H4O2||C2H4O2||C4H10N2O2||C4H9NO3||C4H9NO3||C4H9NO3||C4H7NO2||C4H4O2,[M+ACN+H]+||[M+ACN+H]+||[M+H-NH3]+||[M+ACN+H]+||[M+ACN+H]+||[M+H-NH3]+||[M+ACN+H]+||[M+ACN+H]+||[M+H-NH3]+||[M+ACN+H]+||[M+ACN+H]+||[M+H-NH3]+||[M+ACN+H]+||[M+ACN+H]+||[M+H-NH3]+||[M+ACN+H]+||[M+ACN+H]+||[M+H-NH3]+||[M+H-H2O]+||[M+H-H2O]+||[M+H-H2O]+||[M+H]+||[M+NH4]+,"Acetate||Glycolaldehyde||L-2,4-Diaminobutanoate||Acetate||Glycolaldehyde||L-2,4-Diaminobutanoate||Acetate||Glycolaldehyde||L-2,4-Diaminobutanoate||Acetate||Glycolaldehyde||L-2,4-Diaminobutanoate||Acetate||Glycolaldehyde||L-2,4-Diaminobutanoate||Acetate||Glycolaldehyde||L-2,4-Diaminobutanoate||L-Threonine||L-Homoserine||L-Allothreonine||1-Aminocyclopropane-1-carboxylate||None||None||3-Butynoate||None",C00033||C00266||C03283||C00033||C00266||C03283||C00033||C00266||C03283||C00033||C00266||C03283||C00033||C00266||C03283||C00033||C00266||C03283||C00188||C00263||C05519||C01234||None||None||C06144||None,102.054952||102.054952||102.054958||102.054952||102.054952||102.054958||102.054952||102.054952||102.054958||102.054952||102.054952||102.054958||102.054952||102.054952||102.054958||102.054952||102.054952||102.054958||102.054953||102.054953||102.054953||102.0549544||102.054952,0.35||0.35||0.4||0.35||0.35||0.4||0.35||0.35||0.4||0.35||0.35||0.4||0.35||0.35||0.4||0.35||0.35||0.4||0.36||0.36||0.36||0.37||0.35
13,102.0909528,117.109086,2506026.5,53,3,,,,,,,,,,C3H8O||C3H8O,[M+ACN+H]+||[M+ACN+H]+,Propan-2-ol||Propane-1-ol,C01845||C05979,102.091338||102.091338,3.77||3.77
14,102.0910822,429.042384,2054637.9,126,3,,,,,,,,,,C3H8O||C3H8O,[M+ACN+H]+||[M+ACN+H]+,Propan-2-ol||Propane-1-ol,C01845||C05979,102.091338||102.091338,2.51||2.51
15,102.0912792,348.65742,5629439.45,106,1,6,1,2,1,[M+ACN+H]+::1::1||[M+H+HCOOH]+::1::1||[M+H]+::1::1,,,,,C3H8O||C3H8O,[M+ACN+H]+||[M+ACN+H]+,None||None||None||Propan-2-ol||Propane-1-ol||None||None,None||None||None||C01845||C05979||None||None,102.091338||102.091338,0.58||0.58
16,102.1277081,97.24311,342268.05,,,,,,,,,,,,,,,,,
17,102.5708116,55.2142734,1380114.425,5,4,,,,,,,,,,,,,,,
18,102.9703273,53.6332032,244878755.5,5,139,1,8,261,518,[M+H-H2O]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,"C,S","23,31","(13C),(34S)","0.8,0.2",,,None||None||None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None||None||None,,
19,103.0058852,53.5146297,5509140.2,5,142,1,6,261,518,[M+ACN+H]+::1::1||[M+H-H2O]+::1::1||[M+H]+::1::1||[M+Na]+::1::1,"(41K),K","4,32","K,(41K)","1.6,527.4",,,None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None,,
20,103.006556,1372.78242,305226683,464,3,,,,,,,,,,,,,,,
21,103.0540818,122.97261,506444.335,5,42,,,,,,,,,,C8H8O,[M+H-H2O]+,Phenylacetaldehyde,C00601,103.054225,1.39
22,103.0541606,251.997528,24577807.52,58,32,7,5,18,43,[M+H-H2O]+::1::1||[M+H-NH3]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,C,27,(13C),7.8,C8H8O,[M+H-H2O]+,None||None||None||None||None||None||Phenylacetaldehyde||None||None||None||None||None,None||None||None||None||None||None||C00601||None||None||None||None||None,103.054225,0.62
23,103.9735986,53.6983806,2214847.3,5,138,1,6,261,518,[M+H-H2O]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,(13C),18,C,0.8,,,None||None||None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None||None||None,,
24,103.9779822,1380.86604,329609285.5,464,1,,,,,,,,,,,,,,,
25,104.0098532,1378.00914,4016455.2,464,1,,,,,,,,,,,,,,,
26,104.0527685,88.662429,12236301.73,5,43,4,6,12,21,[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,"(41K),C,S","11,35,40","K,(13C),(34S)","65.5,3.6,0.9",C2H6S||C2H6S||C2H6S||C2H6S,[M+ACN+H]+||[M+ACN+H]+||[M+ACN+H]+||[M+ACN+H]+,Dimethyl sulfide||Dimethyl sulfide||Dimethyl sulfide||Dimethyl sulfide||None||None||None||None,C00580||C00580||C00580||C00580||None||None||None||None,104.052844||104.052844||104.052844||104.052844,0.73||0.73||0.73||0.73
27,104.0575158,252.25752,2114630.2,58,32,7,4,18,43,[M+H-NH3]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,(13C),22,C,7.8,,,None||None||None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None||None||None,,
28,104.0705707,63.732189,20038672.35,14,1,8,1,2,1,,C,37,(13C),3.5,C4H9NO2||C4H6O2||C4H9NO2||C4H9NO2||C2H6O2||C4H9NO2||C4H9NO2,[M+H]+||[M+NH4]+||[M+H]+||[M+H]+||[M+ACN+H]+||[M+H]+||[M+H]+,"4-Aminobutanoate||Diacetyl||N,N-Dimethylglycine||(R)-3-Amino-2-methylpropanoate||Ethylene glycol||(S)-2-Aminobutanoate||L-3-Aminoisobutanoate",C00334||C00741||C01026||C01205||C01380||C02356||C03284,104.0706054||104.070602||104.0706054||104.0706054||104.070602||104.0706054||104.0706054,0.33||0.3||0.33||0.33||0.3||0.33||0.33
29,104.1067869,943.78314,1211274.45,389,15,,,,,,,,,,,,,,,
30,104.1069793,61.052493,403127280,5,150,9,1,2,1,,C,38,(13C),5.1,,,,,,
31,104.9663944,53.6793399,1590542.65,5,135,1,1,261,518,,(34S),18,S,0.2,,,,,,
32,105.0033603,53.5626537,195554867.5,5,143,1,7,261,518,[M+H+HCOOH]+::1::1||[M+H-H2O]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,"(41K),K","19,48","K,(41K)","527.4,2.4",,,None||None||None||None||None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None||None||None||None||None,,
33,105.0332902,760.90245,2360111,296,8,,,,,,,,,,C7H6O2,[M+H-H2O]+,Benzoate,C00180,105.033489,1.89
34,105.0396064,1373.20809,11049153.75,,,,,,,,,,,,,,,,,
35,105.0561443,88.676454,490135.57,5,40,4,3,12,21,[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,(13C),26,C,3.6,C3H4O2||C3H4O2||C3H4O2||C3H4O2,[M+MeOH+H]+||[M+MeOH+H]+||[M+MeOH+H]+||[M+MeOH+H]+,Methylglyoxal||Methylglyoxal||Methylglyoxal||Methylglyoxal||None||None||None||None,C00546||C00546||C00546||C00546||None||None||None||None,105.055719||105.055719||105.055719||105.055719,-4.05||-4.05||-4.05||-4.05
36,105.0695834,726.99129,767036.6,276,17,,,,,,,,,,C8H11N||C8H10O||C8H11N,[M+H-NH3]+||[M+H-H2O]+||[M+H-NH3]+,"Phenethylamine||Phenylethyl alcohol||2,6-Dimethylaniline",C05332||C05853||C11004,105.069879||105.069875||105.069879,2.81||2.78||2.81
37,105.0738741,63.957078,767691.595,14,1,8,1,2,1,,(13C),28,C,3.5,,,,,,
38,105.1103297,61.021182,22660330.75,5,129,9,1,2,1,,(13C),30,C,5.1,,,,,,
39,106.0041261,53.54697,25686806.85,5,140,1,3,261,518,[M+H-H2O]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,,,,,,,None||None||None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None||None||None,,
40,106.0485311,88.632804,457146.625,5,35,4,3,12,21,[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,(34S),26,S,0.9,,,None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None,,
41,106.0498515,60.732288,21202975,5,71,5,2,315,577,[M+ACN+H]+::1::1||[M+H+HCOOH]+::1::1||[M+H]+::1::1||[M+Na]+::1::1,,,,,C3H4O3||C3H4O3||C3H4O3||C3H4O3||C3H4O3||C3H4O3||C3H4O3||C3H4O3||C2H5NO||C3H7NO3||C3H7NO3||C3H7NO3,[M+NH4]+||[M+NH4]+||[M+NH4]+||[M+NH4]+||[M+NH4]+||[M+NH4]+||[M+NH4]+||[M+NH4]+||[M+H+HCOOH]+||[M+H]+||[M+H]+||[M+H]+,Pyruvate||3-Oxopropanoate||Pyruvate||3-Oxopropanoate||Pyruvate||3-Oxopropanoate||Pyruvate||3-Oxopropanoate||None||Aminoacetaldehyde||L-Serine||Sulfur||D-Serine||None,C00022||C00222||C00022||C00222||C00022||C00222||C00022||C00222||None||C06735||C00065||C00087||C00740||None,106.049867||106.049867||106.049867||106.049867||106.049867||106.049867||106.049867||106.049867||106.04986||106.0498694||106.0498694||106.0498694,0.15||0.15||0.15||0.15||0.15||0.15||0.15||0.15||0.08||0.17||0.17||0.17
42,106.0862363,60.784614,6778842.9,9,2,,,,,,,,,,C4H8O2||C4H8O2||C4H8O2||C4H11NO2,[M+NH4]+||[M+NH4]+||[M+NH4]+||[M+H]+,Butanoic acid||(R)-Acetoin||(S)-Acetoin||Diethanolamine,C00246||C00810||C01769||C06772,106.086252||106.086252||106.086252||106.0862554,0.15||0.15||0.15||0.18
43,106.1112152,60.978696,730228.6,5,82,,,,,,,,,,,,,,,
44,106.9426301,33.7743012,96026.775,3,12,3,1,28,44,[M+H-H2O]+::1::1,,,,,,,None||None,None||None,,
45,106.9506127,57.8377068,926022.625,5,112,5,4,315,577,[M+H-H2O]+::1::1||[M+H]+::1::1||[M+Na+HCOO]+::1::1||[M+Na]+::1::1,,,,,,,None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None,,
46,106.963183,53.625798,2195758.5,,,,,,,,,,,,,,,,,
47,106.9630839,1380.41196,5623733.35,465,10,,,,,,,,,,,,,,,
48,107.0008701,53.5617186,30938178.9,5,140,1,5,261,518,[M+H-H2O]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,(41K),32,K,2.4,,,None||None||None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None||None||None,,
49,107.0014254,1377.18015,32655785.4,,,,,,,,,,,,,,,,,
50,107.0489405,801.31047,3790377,326,2,,,,,,,,,,,,,,,
51,107.0489043,708.91335,3058258,263,1,,,,,,,,,,,,,,,
52,107.0489762,865.62693,6283934,,,,,,,,,,,,,,,,,
53,107.0488348,123.015015,1292497.1,,,,,,,,,,,,,,,,,
54,107.0489457,845.82348,1217624.6,354,1,,,,,,,,,,,,,,,
55,107.049029,252.052518,7898422,58,32,7,5,18,43,[M+H-H2O]+::1::1||[M+H]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,C,62,(13C),4.6,,,None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None,,
56,107.0521281,500.580774,78809216,148,14,,,,,,,,,,,,,,,
57,107.599251,156.250056,670845.2,65,2,,,,,,,,,,,,,,,
58,107.9708874,1376.37444,3660120.1,,,,,,,,,,,,,,,,,
59,107.9729881,53.625798,1263287.35,5,118,,,,,,,,,,C2H5O4P,[M+H-NH3]+,Phosphonoacetaldehyde,C03167,107.973276,2.67
60,108.0522531,801.33978,152975.74,,,,,,,,,,,,,,,,,
61,108.0522125,709.06137,403958.85,,,,,,,,,,,,,,,,,
62,108.0523225,252.46797,396743.265,58,27,7,3,18,43,[M+H-H2O]+::1::1||[M+NH4]+::1::1,(13C),55,C,4.6,,,None||None||None||None,None||None||None||None,,
63,108.9583214,34.5702618,617420.1,3,1,,,,,,,,,,,,,,,
64,108.9902043,54.7125372,1160248.35,5,144,1,3,261,518,[M+H-H2O]+::1::1||[M+H]+::1::1,K,73,(41K),5.2,,,None||None||None||None,None||None||None||None,,
65,109.0284187,63.988338,613189.765,5,24,,,,,,,,,,,,,,,
66,109.1010805,526.47375,6976807.7,163,6,10,2,6,6,[M+H-H2O]+::1::1,C,72,(13C),7,,,None||None,None||None,,
67,109.5785812,59.1143238,1990923.085,5,13,,,,,,,,,,,,,,,
68,110.0087786,53.6459184,36013823,5,126,1,10,261,518,[M+ACN+H]+::1::1||[M+ACN+Na]+::1::1||[M+H-H2O]+::1::1||[M+H-NH3]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,K,80,(41K),1.7,HNO3||HNO3||HNO3||HNO3||HNO3||HNO3||HNO3||HNO3,[M+H+HCOOH]+||[M+H+HCOOH]+||[M+H+HCOOH]+||[M+H+HCOOH]+||[M+H+HCOOH]+||[M+H+HCOOH]+||[M+H+HCOOH]+||[M+H+HCOOH]+,Nitrate||Nitrate||Nitrate||Nitrate||Nitrate||Nitrate||Nitrate||Nitrate||None||None||None||None||None||None||None||None,C00244||C00244||C00244||C00244||C00244||C00244||C00244||C00244||None||None||None||None||None||None||None||None,110.008389||110.008389||110.008389||110.008389||110.008389||110.008389||110.008389||110.008389,-3.54||-3.54||-3.54||-3.54||-3.54||-3.54||-3.54||-3.54
69,110.0347721,186.008952,236187.99,70,3,,,,,,,,,,C4H6N4O||C4H5N3O2||C4H5N3O2,[M+H-NH3]+||[M+H-H2O]+||[M+H-H2O]+,5-Amino-4-imidazolecarboxyamide||5-Amino-4-imidazole carboxylate||1-Methyl-4-nitroimidazole,C04051||C05516||C16621,110.034891||110.034886||110.034886,1.08||1.04||1.04
70,110.0347475,278.01876,2464133.445,84,10,,,,,,,,,,C4H6N4O||C4H5N3O2||C4H5N3O2,[M+H-NH3]+||[M+H-H2O]+||[M+H-H2O]+,5-Amino-4-imidazolecarboxyamide||5-Amino-4-imidazole carboxylate||1-Methyl-4-nitroimidazole,C04051||C05516||C16621,110.034891||110.034886||110.034886,1.3||1.26||1.26
71,110.0712676,60.580698,17330002.95,5,98,5,5,315,577,[M+H-H2O]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,C,75,(13C),3.9,,,None||None||None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None||None||None,,
72,110.1043942,526.52886,534940.41,163,7,10,2,6,6,[M+H-H2O]+::1::1,(13C),66,C,7,,,None||None,None||None,,
73,110.9873712,54.757944,403891.485,5,138,1,5,261,518,[M+ACN+Na]+::1::1||[M+H-H2O]+::1::1||[M+MeOH+H]+::1::1,"(41K),K","64,95","K,(41K)","5.2,39.1",,,None||None||None||None||None||None,None||None||None||None||None||None,,
74,111.0095518,53.6459184,3834981.2,5,127,1,6,261,518,[M+ACN+H]+::1::1||[M+ACN+Na]+::1::1||[M+H-H2O]+::1::1||[M+H]+::1::1||[M+K]+::1::1||[M+NH4+HCOOH]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,,,,,,,None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None||None||None||None||None||None||None||None||None,,
75,111.0745956,60.53442,735950,5,50,5,3,315,577,[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,(13C),71,C,3.9,,,None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None,,
76,111.0893688,57.1772208,357822.134,5,6,,,,,,,,,,C4H12N2,[M+Na]+,Putrescine,C00134,111.0892694,-0.89
77,111.1166017,762.95823,14519376,296,8,11,2,4,4,[M+H-H2O]+::1::1,C,90,(13C),7,,,None||None,None||None,,
78,111.1166091,848.16981,7247002,354,11,12,1,2,1,,C,91,(13C),7.1,,,,,,
79,111.9683822,34.2834729,197398.26,3,16,3,2,28,44,[M+H]+::1::1||[M+K]+::1::1||[M+NH4]+::1::1||[M+Na]+::1::1,S,104,(34S),475.5,,,None||None||None||None||None||None||None||None,None||None||None||None||None||None||None||None,,
80,112.0062867,53.6288055,4144263.9,5,127,1,6,261,518,[M+H-H2O]+::1::1||[M+H]+::1::1||[M+Na]+::1::1,(41K),68,K,1.7,,,None||None||None||None||None||None,None||None||None||None||None||None,,
81,112.0068833,1377.00045,5401925.9,462,9,13,1,3,2,[M+H-H2O]+::1::1,,,,,,,None||None,None||None,,
82,112.0369371,59.4296556,2342740.49,5,172,5,2,315,577,[M+H+HCOOH]+::1::1||[M+H]+::1::1||[M+Na]+::1::1,,,,,C3H7NO2||C3H7NO2||C3H7NO2,[M+Na]+||[M+Na]+||[M+Na]+,None||None||None||None||None||L-Alanine||beta-Alanine||Sarcosine,None||None||None||None||None||C00041||C00099||C00213,112.0368994||112.0368994||112.0368994,-0.34||-0.34||-0.34
83,112.0504865,84.949512,1535535.4,5,41,14,1,5,4,,C,100,(13C),155.8,C4H5N3O,[M+H]+,Cytosine,C00380,112.0505384,0.46
84,112.0502548,114.72861,4193144.8,50,6,,,,,,,,,,C4H5N3O,[M+H]+,Cytosine,C00380,112.0505384,2.53
85,112.0502628,65.369187,4178344.9,5,109,,,,,,,,,,C4H5N3O,[M+H]+,Cytosine,C00380,112.0505384,2.46
86,112.0504463,343.748742,1079221.2,84,4,,,,,,,,,,C4H5N3O,[M+H]+,Cytosine,C00380,112.0505384,0.82
87,112.0502533,291.76371,61172074.35,84,25,,,,,,,,,,C4H5N3O,[M+H]+,Cytosine,C00380,112.0505384,2.54
88,112.0870148,55.9769604,17544371.1,5,8,15,1,2,1,,C,101,(13C),3.6,C5H9N3||C5H11N3O||C3H6N2,[M+H]+||[M+H-H2O]+||[M+ACN+H]+,Histamine||4-Guanidinobutanal||3-Aminopropiononitrile,C00388||C02647||C05670,112.0869234||112.086922||112.086921,-0.82||-0.83||-0.84
89,112.1120931,52.6918041,5552881.345,5,4,16,2,4,4,[M+H+HCOOH]+::1::1||[M+H-NH3]+::1::1||[M+H]+::1::1,,,,,,,None||None||None||None||None||None,None||None||None||None||None||None,,
90,112.1199154,763.00344,1118900.15,296,8,11,2,4,4,[M+H-H2O]+::1::1,(13C),77,C,7,,,None||None,None||None,,
91,112.1199482,848.13804,563635.9,354,6,12,1,2,1,,(13C),78,C,7.1,,,,,,
92,112.8956887,57.3819732,3237976.595,5,102,5,2,315,577,[M+H]+::1::1,K,112,(41K),3.6,,,None||None,None||None,,
93,112.9658039,1436.22618,770904.15,467,2,,,,,,,,,,,,,,,
94,112.9782883,1377.2007,3594435,462,5,,,,,,,,,,,,,,,
95,112.9850675,54.75168,1061822.175,5,141,1,1,261,518,,(41K),73,K,39.1,CO2||C2H2O4,[M+Na+HCOO]+||[M+Na]+,CO2||Oxalate,C00011||C00209,112.984517||112.9845304,-4.87||-4.75
96,112.9997878,69.19554,2814370.6,,,,,,,,,,,,C3H6O2||C3H6O2||C3H6O2||C3H6O2||C3H6O2||CH5O4P||C2H4||C3H6O2,[M+K]+||[M+K]+||[M+K]+||[M+K]+||[M+K]+||[M+H]+||[M+K+HCOOH]+||[M+K]+,Propanoate||(S)-Lactaldehyde||(R)-Lactaldehyde||3-Hydroxypropanal||Hydroxyacetone||Hydroxymethylphosphonate||Ethylene||Methyl acetate,C00163||C00424||C00937||C00969||C05235||C06455||C06547||C17530,112.9999384||112.9999384||112.9999384||112.9999384||112.9999384||112.9998224||112.999928||112.9999384,1.33||1.33||1.33||1.33||1.33||0.31||1.24||1.33
97,113.0209597,83.488767,1916820.6,27,7,,,,,,,,,,C2H4O||C3H6O3||C3H6O3||C3H6O3||C3H6O3||C3H6O3||C3H6O3,[M+Na+HCOO]+||[M+Na]+||[M+Na]+||[M+Na]+||[M+Na]+||[M+Na]+||[M+Na]+,Acetaldehyde||Glycerone||(S)-Lactate||(R)-Lactate||D-Glyceraldehyde||3-Hydroxypropanoate||L-Glyceraldehyde,C00084||C00184||C00186||C00256||C00577||C01013||C02426,113.020903||113.0209154||113.0209154||113.0209154||113.0209154||113.0209154||113.0209154,-0.5||-0.39||-0.39||-0.39||-0.39||-0.39||-0.39
98,113.034489,113.658945,91596276.9,5,55,17,1,2,1,,C,105,(13C),3.6,C4H4N2O2||C4H6N2O3,[M+H]+||[M+H-H2O]+,Uracil||Ureidoacrylate,C00106||C20254,113.0345534||113.034552,0.57||0.56
99,113.0344995,83.086308,90051354.95,5,37,14,2,5,4,[M+ACN+H]+::1::1||[M+H+HCOOH]+::1::1||[M+H]+::1::1,C,106,(13C),3.6,C4H6N2O3||C4H6N2O3||C4H6N2O3||C4H4N2O2,[M+H-H2O]+||[M+H-H2O]+||[M+H-H2O]+||[M+H]+,Ureidoacrylate||Ureidoacrylate||Ureidoacrylate||None||None||Uracil,C20254||C20254||C20254||None||None||C00106,113.034552||113.034552||113.034552||113.0345534,0.46||0.46||0.46||0.48
100,113.0537146,84.09138,2632372.42,5,64,14,2,5,4,[M+H-H2O]+::1::1,(13C),83,C,155.8,,,None||None,None||None,,
101,113.0903441,56.1893133,698278.89,5,1,15,1,2,1,,(13C),88,C,3.6,,,,,,
102,113.095961,440.600064,2684540.6,,,,,,,,,,,,,,,,,
103,113.1072175,118.479372,1215962.8,50,5,,,,,,,,,,C6H14N2O,[M+H-H2O]+,N-Acetylputrescine,C02714,113.107323,0.93
104,113.963742,34.2819459,3951402.5,3,15,3,1,28,44,,(34S),79,S,475.5,,,,,,
105,114.0377998,113.560884,3648089.85,5,52,17,1,2,1,,(13C),98,C,3.6,,,,,,
