pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,HumanCyc,10,C00064;C00065;C00148;C00188;C00022;C00025;C00109;C00049;C00080;C00135,35 (35),1.19e-08,3.39e-06
Amino acid transport across the plasma membrane,Reactome,9,C00077;C00064;C00148;C00740;C00025;C00491;C00080;C03283;C00135,29 (32),2.97e-08,7.46e-06
&gamma;-glutamyl cycle,HumanCyc,9,C00064;C00065;C00148;C00188;C00025;C00049;C00080;C01879;C00135,29 (29),2.97e-08,7.46e-06
Glycine_ serine_ alanine and threonine metabolism,EHMN,14,C00077;C00065;C05519;C02305;C00188;C00033;C00022;C00258;C01005;C00025;C01888;C00937;C00080;C00064,88 (88),4.62e-08,9.15e-06
Histidine catabolism,Reactome,8,C00388;C00386;C00025;C03680;C00080;C00785;C00439;C00135,23 (23),6.6e-08,9.15e-06
Prolinemia Type II,SMPDB,11,C00077;C00148;C02305;C00025;C04281;C04282;C00049;C00763;C05938;C00080;C00122,52 (52),6.64e-08,9.15e-06
Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),SMPDB,11,C00077;C00148;C02305;C00025;C04281;C04282;C00049;C00763;C05938;C00080;C00122,52 (52),6.64e-08,9.15e-06
Hyperornithinemia with gyrate atrophy (HOGA),SMPDB,11,C00077;C00148;C02305;C00025;C04281;C04282;C00049;C00763;C05938;C00080;C00122,52 (52),6.64e-08,9.15e-06
Creatine deficiency_ guanidinoacetate methyltransferase deficiency,SMPDB,11,C00077;C00148;C02305;C00025;C04281;C04282;C00049;C00763;C05938;C00080;C00122,52 (52),6.64e-08,9.15e-06
L-arginine:glycine amidinotransferase deficiency,SMPDB,11,C00077;C00148;C02305;C00025;C04281;C04282;C00049;C00763;C05938;C00080;C00122,52 (52),6.64e-08,9.15e-06
Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome],SMPDB,11,C00077;C00148;C02305;C00025;C04281;C04282;C00049;C00763;C05938;C00080;C00122,52 (52),6.64e-08,9.15e-06
Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMPDB,11,C00077;C00148;C02305;C00025;C04281;C04282;C00049;C00763;C05938;C00080;C00122,52 (52),6.64e-08,9.15e-06
Prolidase Deficiency (PD),SMPDB,11,C00077;C00148;C02305;C00025;C04281;C04282;C00049;C00763;C05938;C00080;C00122,52 (52),6.64e-08,9.15e-06
Arginine and Proline Metabolism,SMPDB,11,C00077;C00148;C02305;C00025;C04281;C04282;C00049;C00763;C05938;C00080;C00122,52 (52),6.64e-08,9.15e-06
Hyperprolinemia Type I,SMPDB,11,C00077;C00148;C02305;C00025;C04281;C04282;C00049;C00763;C05938;C00080;C00122,52 (52),6.64e-08,9.15e-06
Hyperprolinemia Type II,SMPDB,11,C00077;C00148;C02305;C00025;C04281;C04282;C00049;C00763;C05938;C00080;C00122,52 (52),6.64e-08,9.15e-06
Ornithine Aminotransferase Deficiency (OAT Deficiency),SMPDB,11,C00077;C00148;C02305;C00025;C04281;C04282;C00049;C00763;C05938;C00080;C00122,52 (52),6.64e-08,9.15e-06
SLC-mediated transmembrane transport,Reactome,18,C00077;C00064;C00163;C00148;C00388;C00178;C00033;C00022;C00740;C00025;C00402;C00049;C00491;C00080;C03283;C00135;C00475;C00164,155 (166),7.86e-08,1.05e-05
tRNA charging,HumanCyc,8,C00064;C00065;C00148;C00188;C00025;C00049;C00080;C00135,24 (24),9.68e-08,1.21e-05
Carnosinuria_ carnosinemia,SMPDB,9,C05665;C00386;C01152;C00025;C00222;C00049;C00080;C00429;C00135,33 (34),1.05e-07,1.21e-05
Ureidopropionase deficiency,SMPDB,9,C05665;C00386;C01152;C00025;C00222;C00049;C00080;C00429;C00135,33 (34),1.05e-07,1.21e-05
GABA-Transaminase Deficiency,SMPDB,9,C05665;C00386;C01152;C00025;C00222;C00049;C00080;C00429;C00135,33 (34),1.05e-07,1.21e-05
Beta-Alanine Metabolism,SMPDB,9,C05665;C00386;C01152;C00025;C00222;C00049;C00080;C00429;C00135,33 (34),1.05e-07,1.21e-05
Nicotinate and nicotinamide metabolism - Homo sapiens (human),KEGG,11,C00163;C01059;C00022;C00153;C00049;C00232;C01596;C01020;C03056;C01384;C00122,55 (55),1.23e-07,1.38e-05
Amino acid synthesis and interconversion (transamination),Reactome,10,C00077;C00064;C00148;C00033;C00022;C01005;C00740;C00025;C00049;C00080,44 (46),1.32e-07,1.44e-05
Transport of inorganic cations-anions and amino acids-oligopeptides,Wikipathways,9,C00077;C00163;C00033;C00022;C00740;C00402;C00491;C00080;C03283,34 (58),1.39e-07,1.49e-05
histidine degradation,HumanCyc,6,C00025;C03680;C00080;C00785;C00439;C00135,12 (12),2.43e-07,2.54e-05
Central carbon metabolism in cancer - Homo sapiens (human),KEGG,9,C00064;C00065;C00148;C00074;C00022;C00025;C00049;C00135;C00122,37 (37),3.09e-07,3.14e-05
Propanoate metabolism - Homo sapiens (human),KEGG,10,C00222;C00163;C00164;C17530;C00033;C00804;C00109;C05235;C00424;C06002,48 (48),3.17e-07,3.15e-05
Histidine degradation,INOH,8,C05130;C00386;C02835;C00025;C00388;C00785;C00439;C00135,28 (28),3.74e-07,3.63e-05
beta-Alanine metabolism - Homo sapiens (human),KEGG,8,C05665;C05670;C00386;C00804;C00222;C00049;C00429;C00135,32 (32),1.16e-06,0.00011
Arginine Proline metabolism,INOH,11,C02714;C00077;C00148;C02305;C00025;C04281;C00049;C05938;C00232;C00064;C00122,68 (68),1.18e-06,0.00011
Alanine Aspartate Asparagine metabolism,INOH,9,C00064;C00074;C00402;C00022;C00025;C00222;C00033;C00049;C00122,45 (45),1.84e-06,0.000167
Cysteine and methionine metabolism - Homo sapiens (human),KEGG,10,C00065;C00263;C00022;C01005;C00109;C00979;C00049;C00491;C01234;C02218,61 (61),3.28e-06,0.000291
Transport of small molecules,Reactome,18,C00077;C00064;C00163;C00148;C00388;C00178;C00033;C00022;C00740;C00025;C00402;C00164;C00049;C00491;C00080;C03283;C00475;C00135,203 (226),4.51e-06,0.000393
Alanine_ aspartate and glutamate metabolism - Homo sapiens (human),KEGG,7,C00064;C00402;C00022;C00025;C00049;C00232;C00122,28 (28),5.62e-06,0.00048
Alanine and aspartate metabolism,Wikipathways,6,C00402;C00022;C00386;C00222;C00049;C00122,19 (20),6.14e-06,0.000514
L-serine degradation,HumanCyc,4,C00065;C00022;C02218;C00080,6 (7),6.68e-06,0.000548
leukotriene biosynthesis,HumanCyc,7,C00064;C00065;C00148;C00188;C00025;C00049;C00135,29 (30),7.25e-06,0.000574
Ammonia Recycling,SMPDB,7,C00064;C00065;C00022;C00025;C00049;C00785;C00135,29 (29),7.25e-06,0.000574
D-Glutamine and D-glutamate metabolism - Homo sapiens (human),KEGG,5,C00064;C00819;C02237;C00217;C00025,12 (12),8.09e-06,0.000628
Glycine Serine metabolism,INOH,10,C00077;C00065;C02218;C00188;C00022;C01005;C00025;C00109;C05235;C01888,68 (68),9.04e-06,0.000689
Urea cycle and metabolism of amino groups,Wikipathways,7,C00077;C00148;C02565;C02305;C00025;C00049;C00122,31 (32),1.17e-05,0.000868
Histidine_ lysine_ phenylalanine_ tyrosine_ proline and tryptophan catabolism,Wikipathways,10,C00164;C00022;C00386;C03680;C02220;C00080;C00449;C00785;C00439;C00388,70 (91),1.18e-05,0.000868
Organic anion transporters,Reactome,5,C00033;C00022;C00163;C00080;C00025,14 (15),1.96e-05,0.00142
Hypoacetylaspartia,SMPDB,7,C00064;C00402;C00025;C00222;C00033;C00049;C00122,34 (34),2.24e-05,0.00154
Aspartate Metabolism,SMPDB,7,C00064;C00402;C00025;C00222;C00033;C00049;C00122,34 (34),2.24e-05,0.00154
Canavan Disease,SMPDB,7,C00064;C00402;C00025;C00222;C00033;C00049;C00122,34 (34),2.24e-05,0.00154
serine and glycine biosynthesis,HumanCyc,5,C00065;C01005;C00025;C00080;C00740,15 (15),2.88e-05,0.0019
4-hydroxyproline degradation,HumanCyc,5,C04281;C00022;C00025;C00080;C05938,15 (17),2.88e-05,0.0019
Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),KEGG,9,C00064;C00065;C01732;C00033;C00022;C00258;C00025;C00266;C03618,62 (62),2.89e-05,0.0019
Metabolism of nucleotides,Reactome,13,C00064;C00349;C00178;C05512;C00022;C00025;C00222;C00087;C00049;C00080;C00429;C00475;C00122,132 (152),3.58e-05,0.00231
Methionine and cysteine metabolism,EHMN,10,C00064;C00065;C02218;C00033;C00022;C00025;C00109;C00049;C00491;C00080,80 (80),3.92e-05,0.0025
Serine biosynthesis,Reactome,5,C00022;C01005;C00025;C00080;C00740,16 (17),4.1e-05,0.00257
Pyrimidine catabolism,Reactome,7,C00222;C00178;C00022;C00349;C00080;C00429;C00475,38 (39),4.81e-05,0.00294
Pyrimidine metabolism - Homo sapiens (human),KEGG,9,C00064;C21029;C21028;C00178;C20253;C00222;C05281;C00429;C00475,66 (66),4.83e-05,0.00294
Aminoacyl-tRNA biosynthesis - Homo sapiens (human),KEGG,8,C00064;C00065;C00148;C00188;C01005;C00025;C00049;C00135,52 (52),5.33e-05,0.00312
Argininemia,SMPDB,6,C00064;C00077;C00022;C00025;C00049;C00122,27 (27),5.63e-05,0.00312
Citrullinemia Type I,SMPDB,6,C00064;C00077;C00022;C00025;C00049;C00122,27 (27),5.63e-05,0.00312
Carbamoyl Phosphate Synthetase Deficiency,SMPDB,6,C00064;C00077;C00022;C00025;C00049;C00122,27 (27),5.63e-05,0.00312
Argininosuccinic Aciduria,SMPDB,6,C00064;C00077;C00022;C00025;C00049;C00122,27 (27),5.63e-05,0.00312
Urea Cycle,SMPDB,6,C00064;C00077;C00022;C00025;C00049;C00122,27 (27),5.63e-05,0.00312
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMPDB,6,C00064;C00077;C00022;C00025;C00049;C00122,27 (27),5.63e-05,0.00312
histamine biosynthesis,HumanCyc,3,C00388;C00080;C00135,4 (4),7.06e-05,0.00382
Proton-coupled monocarboxylate transport,Reactome,3,C00022;C00164;C00080,4 (5),7.06e-05,0.00382
3-Phosphoglycerate dehydrogenase deficiency,SMPDB,8,C00065;C00022;C00258;C01005;C00025;C00109;C00740;C01888,55 (55),8.07e-05,0.00396
Non Ketotic Hyperglycinemia,SMPDB,8,C00065;C00022;C00258;C01005;C00025;C00109;C00740;C01888,55 (55),8.07e-05,0.00396
Glycine and Serine Metabolism,SMPDB,8,C00065;C00022;C00258;C01005;C00025;C00109;C00740;C01888,55 (55),8.07e-05,0.00396
Dimethylglycine Dehydrogenase Deficiency,SMPDB,8,C00065;C00022;C00258;C01005;C00025;C00109;C00740;C01888,55 (55),8.07e-05,0.00396
Hyperglycinemia_ non-ketotic,SMPDB,8,C00065;C00022;C00258;C01005;C00025;C00109;C00740;C01888,55 (55),8.07e-05,0.00396
Dimethylglycine Dehydrogenase Deficiency,SMPDB,8,C00065;C00022;C00258;C01005;C00025;C00109;C00740;C01888,55 (55),8.07e-05,0.00396
Sarcosinemia,SMPDB,8,C00065;C00022;C00258;C01005;C00025;C00109;C00740;C01888,55 (55),8.07e-05,0.00396
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMPDB,8,C00065;C00022;C00258;C01005;C00025;C00109;C00740;C01888,55 (55),8.07e-05,0.00396
D-Arginine and D-ornithine metabolism - Homo sapiens (human),KEGG,4,C00077;C03771;C00515;C03943,10 (10),8.61e-05,0.00418
Nicotinate metabolism,Reactome,7,C00064;C00163;C00033;C00022;C00153;C00025;C00080,42 (52),9.43e-05,0.00447
Butanoate metabolism - Homo sapiens (human),KEGG,7,C00164;C00022;C00025;C06144;C00232;C01384;C00122,42 (42),9.43e-05,0.00447
Aminosugars metabolism,EHMN,7,C00064;C00074;C00033;C00022;C00740;C00025;C00080,43 (43),0.00011,0.00517
Pyruvate metabolism - Homo sapiens (human),KEGG,6,C00074;C00033;C00022;C00424;C00937;C00122,31 (31),0.000129,0.0059
Phenylalanine and tyrosine catabolism,Reactome,6,C00164;C00022;C00025;C00049;C00080;C00122,31 (31),0.000129,0.0059
asparagine biosynthesis,HumanCyc,4,C00064;C00049;C00025;C00080,11 (11),0.000133,0.00596
serine biosynthesis (phosphorylated route),HumanCyc,4,C00065;C01005;C00025;C00080,11 (11),0.000133,0.00596
Amine compound SLC transporters,Reactome,6,C00064;C00148;C00388;C00080;C03283;C00135,32 (35),0.000155,0.00689
Pyrimidine metabolism,EHMN,9,C00064;C00074;C00178;C00022;C00025;C00049;C00080;C00429;C00475,77 (77),0.000165,0.00726
Sulfur metabolism - Homo sapiens (human),KEGG,6,C00065;C00263;C04022;C00033;C00979;C00087,33 (33),0.000185,0.00807
Metabolism,Reactome,42,C00077;C00074;C00388;C02305;C00402;C05512;C00386;C00740;C02220;C00449;C01879;C00418;C05665;C00222;C00178;C00429;C00087;C14856;C00049;C00439;C00080;C00232;C00122;C00064;C00163;C00148;C00164;C00022;C00258;C03680;C00109;C00025;C00475;C05130;C00153;C01005;C00349;C04281;C00033;C03793;C00785;C00135,951 (1384),0.000205,0.00884
Glyoxylate metabolism and glycine degradation,Reactome,6,C04281;C00402;C00022;C00087;C00049;C00080,34 (43),0.00022,0.0094
Valine_ leucine and isoleucine biosynthesis - Homo sapiens (human),KEGG,5,C02226;C06007;C00022;C00109;C00188,23 (23),0.000272,0.0113
Arginine biosynthesis - Homo sapiens (human),KEGG,5,C00064;C00077;C00049;C00025;C00122,23 (23),0.000272,0.0113
histamine degradation,HumanCyc,4,C02835;C05130;C00080;C00388,13 (13),0.000276,0.0113
tyrosine degradation,HumanCyc,4,C00122;C00164;C00080;C00025,13 (13),0.000276,0.0113
Butanoate metabolism,EHMN,6,C00164;C00022;C00025;C00109;C06144;C00080,36 (36),0.000305,0.0124
Purine ribonucleoside monophosphate biosynthesis,Reactome,6,C00064;C00025;C00087;C00049;C00080;C00122,37 (37),0.000357,0.0144
Pyrimidine metabolism,Wikipathways,6,C00064;C21029;C21028;C00178;C00429;C00475,38 (40),0.000414,0.0165
Metabolism of polyamines,Reactome,7,C00077;C05665;C02305;C00025;C00049;C00080;C00122,53 (60),0.000424,0.0168
Transport of bile salts and organic acids_ metal ions and amine compounds,Reactome,8,C00064;C00148;C00388;C00022;C00080;C03283;C00135;C00164,70 (78),0.00045,0.0176
Serine biosynthesis,Wikipathways,4,C00022;C01005;C00740;C00080,15 (17),0.000505,0.0194
UTP and CTP dephosphorylation I,HumanCyc,4,C00064;C00475;C00025;C00080,15 (15),0.000505,0.0194
ABC transporters - Homo sapiens (human),KEGG,11,C00064;C00065;C00148;C00188;C00077;C00025;C01279;C00491;C00049;C03619;C00135,129 (129),0.000526,0.02
glutamine biosynthesis,HumanCyc,3,C00064;C00025;C00080,7 (7),0.000583,0.0218
carnosine biosynthesis,HumanCyc,3,C00386;C00080;C00135,7 (7),0.000583,0.0218
Pyrimidine nucleotides nucleosides metabolism,INOH,7,C00064;C00178;C00025;C00222;C00049;C00429;C00475,56 (56),0.000597,0.0222
GABA synthesis_ release_ reuptake and degradation,Reactome,4,C03283;C00025;C00080;C00232,16 (16),0.00066,0.0243
Na+/Cl- dependent neurotransmitter transporters,Reactome,5,C00064;C03283;C00148;C00388;C00135,28 (31),0.000715,0.0261
Glutaminolysis and Cancer,SMPDB,6,C00064;C00022;C00025;C00049;C00080;C00122,43 (44),0.000822,0.0297
Proximal tubule bicarbonate reclamation - Homo sapiens (human),KEGG,4,C00064;C00074;C00025;C00080,17 (17),0.000845,0.0299
urea cycle,HumanCyc,4,C00077;C00049;C00080;C00122,17 (17),0.000845,0.0299
Mineral absorption - Homo sapiens (human),KEGG,5,C00064;C00065;C00148;C00080;C00188,29 (29),0.000846,0.0299
malate-aspartate shuttle,HumanCyc,3,C00049;C00025;C00080,8 (8),0.000915,0.0315
Glutamate Neurotransmitter Release Cycle,Reactome,3,C00064;C00025;C00080,8 (8),0.000915,0.0315
L-cysteine degradation II,HumanCyc,3,C00022;C00025;C00080,8 (8),0.000915,0.0315
superpathway of purine nucleotide salvage,HumanCyc,5,C00064;C00049;C00025;C00080;C00122,30 (30),0.000994,0.0337
Tryptophan catabolism,Reactome,5,C00022;C02220;C00025;C00080;C00135,30 (34),0.000994,0.0337
Glyoxylate metabolism and glycine degradation,Wikipathways,5,C00402;C00087;C00022;C00080;C04281,31 (42),0.00116,0.0372
Pyruvate Dehydrogenase Complex Deficiency,SMPDB,6,C00074;C00033;C00022;C00424;C00937;C00080,46 (46),0.00118,0.0372
Primary hyperoxaluria II_ PH2,SMPDB,6,C00074;C00033;C00022;C00424;C00937;C00080,46 (46),0.00118,0.0372
Pyruvate kinase deficiency,SMPDB,6,C00074;C00033;C00022;C00424;C00937;C00080,46 (46),0.00118,0.0372
Leigh Syndrome,SMPDB,6,C00074;C00033;C00022;C00424;C00937;C00080,46 (46),0.00118,0.0372
Pyruvate Metabolism,SMPDB,6,C00074;C00033;C00022;C00424;C00937;C00080,46 (46),0.00118,0.0372
Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency),SMPDB,6,C00074;C00033;C00022;C00424;C00937;C00080,46 (46),0.00118,0.0372
Nucleobase catabolism,Wikipathways,8,C00349;C00178;C05512;C00022;C00222;C00080;C00429;C00475,82 (100),0.0013,0.0372
UMP biosynthesis,HumanCyc,4,C00064;C00049;C00025;C00080,19 (20),0.00132,0.0372
4-aminobutyrate degradation,HumanCyc,3,C00025;C00080;C00232,9 (9),0.00135,0.0372
methylglyoxal degradation VI,HumanCyc,3,C00022;C00937;C00080,9 (9),0.00135,0.0372
proline degradation,HumanCyc,3,C00148;C00025;C00080,9 (10),0.00135,0.0372
L-glutamine tRNA biosynthesis,HumanCyc,3,C00064;C00025;C00080,9 (9),0.00135,0.0372
Miscellaneous transport and binding events,Reactome,3,C00491;C00080;C00135,9 (10),0.00135,0.0372
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II,HumanCyc,3,C00064;C00025;C00080,9 (11),0.00135,0.0372
Histidine synthesis_ part of Histidine biosynthesis I pathway,Wikipathways,3,C00064;C00135;C01929,9 (16),0.00135,0.0372
Sialuria or French Type Sialuria,SMPDB,5,C00033;C00064;C00022;C00074;C00025,32 (32),0.00135,0.0372
Sialuria or French Type Sialuria,SMPDB,5,C00033;C00064;C00022;C00074;C00025,32 (32),0.00135,0.0372
Amino Sugar Metabolism,SMPDB,5,C00033;C00064;C00022;C00074;C00025,32 (32),0.00135,0.0372
G(M2)-Gangliosidosis: Variant B_ Tay-sachs disease,SMPDB,5,C00033;C00064;C00022;C00074;C00025,32 (32),0.00135,0.0372
Tay-Sachs Disease,SMPDB,5,C00033;C00064;C00022;C00074;C00025,32 (32),0.00135,0.0372
Salla Disease/Infantile Sialic Acid Storage Disease,SMPDB,5,C00033;C00064;C00022;C00074;C00025,32 (32),0.00135,0.0372
Nucleobase biosynthesis,Reactome,6,C00064;C00025;C00087;C00049;C00080;C00122,48 (48),0.00149,0.0372
2-Hydroxyglutric Aciduria (D And L Form),SMPDB,6,C00064;C00022;C00025;C00049;C00080;C00232,48 (49),0.00149,0.0372
Homocarnosinosis,SMPDB,6,C00064;C00022;C00025;C00049;C00080;C00232,48 (49),0.00149,0.0372
Hyperinsulinism-Hyperammonemia Syndrome,SMPDB,6,C00064;C00022;C00025;C00049;C00080;C00232,48 (49),0.00149,0.0372
Succinic semialdehyde dehydrogenase deficiency,SMPDB,6,C00064;C00022;C00025;C00049;C00080;C00232,48 (49),0.00149,0.0372
4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,SMPDB,6,C00064;C00022;C00025;C00049;C00080;C00232,48 (49),0.00149,0.0372
Glutamate Metabolism,SMPDB,6,C00064;C00022;C00025;C00049;C00080;C00232,48 (49),0.00149,0.0372
Nicotinamide salvaging,Reactome,5,C00033;C00163;C00153;C00022;C00080,33 (38),0.00155,0.0372
Propanoate metabolism,EHMN,5,C00222;C00804;C00163;C06002;C00080,33 (33),0.00155,0.0372
Troleandomycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Josamycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Methacycline Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Streptomycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Spectinomycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Kanamycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Gentamicin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Netilmicin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Neomycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Roxithromycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Erythromycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Amikacin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Telithromycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Tobramycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Tigecycline Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Arbekacin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Paromomycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Doxycycline Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Oxytetracycline Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Minocycline Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Lymecycline Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Tetracycline Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Clomocycline Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Lincomycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Rolitetracycline Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Chloramphenicol Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Clarithromycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Clindamycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Azithromycin Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,20 (20),0.00162,0.0372
Nucleobase catabolism,Reactome,8,C00349;C00178;C05512;C00022;C00222;C00080;C00429;C00475,86 (100),0.00178,0.0403
Glutamate Glutamine metabolism,INOH,5,C00064;C00022;C00049;C00025;C00232,34 (34),0.00178,0.0403
Gluconeogenesis,Reactome,5,C00049;C00022;C00074;C00025;C00080,34 (34),0.00178,0.0403
asparagine degradation,HumanCyc,3,C00049;C00025;C00080,10 (10),0.00189,0.0419
L-cysteine degradation I,HumanCyc,3,C00022;C00025;C00080,10 (10),0.00189,0.0419
Malate-Aspartate Shuttle,SMPDB,3,C00049;C00025;C00080,10 (10),0.00189,0.0419
Demeclocycline Action Pathway,SMPDB,4,C00148;C00135;C00740;C00188,21 (21),0.00196,0.0433
Proton/oligopeptide cotransporters,Reactome,2,C00080;C00135,3 (5),0.00204,0.0447
Uptake and function of diphtheria toxin,Wikipathways,2,C00153;C00080,3 (3),0.00204,0.0447
superpathway of methionine degradation,HumanCyc,5,C00065;C00022;C00080;C00025;C00109,36 (36),0.00232,0.0503
Pyrimidine biosynthesis,Reactome,4,C00064;C00049;C00025;C00080,22 (22),0.00235,0.0503
Taurine and hypotaurine metabolism - Homo sapiens (human),KEGG,4,C00033;C00022;C06735;C00025,22 (22),0.00235,0.0503
